GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice5,com.example,DiceScore,0,32,0,6,0,8,0,5,0,2
exercice5,com.example,Main,10,0,0,0,3,0,2,0,2,0
